CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,Email,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,AdmEmail,LastUpDate
37681630138628,0619140,14254,Active,San Diego,Julian Union Elementary,JCS - Cedar Cove,777 Santa Fe,777 Santa Fe,Encinitas,92024-3840,CA,PO Box 2470,PO Box 2470,Julian,92036,CA,(760) 230-2870,No Data,No Data,jcauzza@jcs-inc.org,http://www.jcs-inc.org,43332,No Data,Y,2022,Directly funded,52,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,N,0601688,33.035868,-117.27597,Hillary,Gaddis,hbertran-harris@jcs-inc.org,44582
37681630139402,0619140,14440,Active,San Diego,Julian Union Elementary,Brookfield Engineering Science Technology Academy,1704 Cape Horn,1704 Cape Horn,Julian,92036,CA,1717 E. Vista Chino A7-185,1717 E. Vista Chino A7-185,Palm Springs,92262,CA,(833) 619-2378,No Data,No Data,info@bestacademycs.com,http://www.bestacademycs.com,43678,No Data,Y,2055,Directly funded,52,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,3-12,3-12,F,N,N,0602501,33.078652,-116.59486,Alejandro,Soriano,asoriano@bestacademycs.com,44582
37681633731239,0619140,08596,Active,San Diego,Julian Union Elementary,Julian Charter,1704 Cape Horn,1704 Cape Horn,Julian,92036,CA,PO Box 2470,PO Box 2470,Julian,92036,CA,(760) 765-3847,No Data,(760) 765-3847,jcauzza@jcs-inc.org,http://www.jcs-inc.org,36486,No Data,Y,0267,Directly funded,52,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,N,0602005,33.078080,-116.59581,Lori,Cummings,lcummings@jcs-inc.org,44582
37681636038327,0619140,02306,Active,San Diego,Julian Union Elementary,Julian Elementary,1704 Cape Horn,1704 Cape Horn,Julian,92036-0337,CA,PO Box 337,PO Box 337,Julian,92036-0337,CA,(760) 765-0661,No Data,No Data,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.078080,-116.59581,Scot,Copeland,copeland@juesd.net,44482
37681636105845,0619140,08859,Active,San Diego,Julian Union Elementary,Julian Junior High,1704 Cape Horn,1704 Cape Horn,Julian,92036-0337,CA,PO Box 337,PO Box 337,Julian,92036-0337,CA,(760) 765-0575,No Data,(760) 765-3340,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.078080,-116.59581,Brian,Duffy,brian.duffy@juesd.net,44482
37681710000000,0619110,No Data,Active,San Diego,Julian Union High,No Data,1656 Highway 78,1656 Highway 78,Julian,92036-0417,CA,PO Box 417,PO Box 417,Julian,92036-0417,CA,(760) 765-0606,No Data,(760) 765-2926,No Data,http://www.juhsd.org,No Data,No Data,No Data,No Data,No Data,56,High School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,33.076465,-116.59451,Patrick,Hefflin,phefflin@juhsd.org,42775
37681713733219,0619110,02305,Active,San Diego,Julian Union High,Julian High,1656 Highway 78,1656 Highway 78,Julian,92036-0417,CA,PO Box 417,PO Box 417,Julian,92036-0417,CA,(760) 765-0606,No Data,(760) 765-2926,No Data,http://www.juhsd.org,29403,No Data,N,No Data,No Data,56,High School District,67,High Schools In 1 School Dist. (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,33.076465,-116.59451,Patrick,Hefflin,phefflin@juhsd.org,44056
37681890000000,0620790,No Data,Active,San Diego,Lakeside Union Elementary,No Data,12335 Woodside Avenue,12335 Woodside Ave.,Lakeside,92040-0578,CA,12335 Woodside Avenue,12335 Woodside Ave.,Lakeside,92040-0578,CA,(619) 390-2600,No Data,(619) 561-7929,derosier@lsusd.net,http://www.lsusd.net,No Data,No Data,No Data,No Data,No Data,52,Elementary School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32.856779,-116.92581,Rhonda,Taylor,rtaylor@lsusd.net,44383
37681890129288,0620790,13731,Active,San Diego,Lakeside Union Elementary,Eucalyptus Hills Elementary,11838 Valle Vista Road,11838 Valle Vista Rd.,Lakeside,92040-1046,CA,11838 Valle Vista Road,11838 Valle Vista Rd.,Lakeside,92040-1046,CA,(619) 390-2634,No Data,(619) 390-2575,derosier@lsusd.net,http://www.lsusd.net,41645,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-K,K,N,N,N,No Data,32.892434,-116.94779,Kelly,Gilbert,kgilbert@lsusd.net,44448
37681890130740,0620790,14081,Active,San Diego,Lakeside Union Elementary,Lakeside Early Advantage Preschool,12824 Lakeshore Drive,12824 Lakeshore Dr.,Lakeside,92040-3206,CA,12335 Woodside Avenue,12335 Woodside Ave.,Lakeside,92040,CA,(619) 390-2391,No Data,(619) 561-7929,nwinspear@lsusd.net,http://www.lsusd.net,41884,No Data,N,No Data,No Data,52,Elementary School District,08,Preschool,SPEC,Special Education School,PS,Preschool,P,No Data,N,No Data,N,No Data,32.859273,-116.91472,Natalie,Winspear,nwinspear@lsusd.net,43173
37681893731072,0620790,07308,Active,San Diego,Lakeside Union Elementary,River Valley Charter,9707 1/2 Marilla Drive,9707 1/2 Marilla Dr.,Lakeside,92040-2868,CA,9707 1/2 Marilla Drive,9707 1/2 Marilla Dr.,Lakeside,92040-2868,CA,(619) 390-2579,No Data,(619) 390-2581,brooke.faigin@rivervalleyhigh.org,http://www.rivervalleyhigh.org,35681,No Data,Y,0120,Directly funded,52,Elementary School District,66,High Schools (Public),TRAD,Traditional,HS,High School,7-12,7-12,N,N,N,0601462,32.853156,-116.94065,Brooke,Faigin,brooke.faigin@rivervalleyhigh.org,43509
37681896038343,0620790,02493,Active,San Diego,Lakeside Union Elementary,Lakeside Farms Elementary,11915 Lakeside Avenue,11915 Lakeside Ave.,Lakeside,92040-0578,CA,11915 Lakeside Avenue,11915 Lakeside Ave.,Lakeside,92040-0578,CA,(619) 390-2646,No Data,(619) 390-2648,derosier@lsusd.net,http://www.lsusd.net,21064,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.867036,-116.93598,James,Rosa,jrosa@lsusd.net,44056
37681896038350,0620790,02494,Active,San Diego,Lakeside Union Elementary,Lakeside Middle,11833 Woodside Avenue,11833 Woodside Ave.,Lakeside,92040-0578,CA,11833 Woodside Avenue,11833 Woodside Ave.,Lakeside,92040-0578,CA,(619) 390-2636,No Data,(619) 390-2643,derosier@lsusd.net,http://www.lsusd.net,13394,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,32.855130,-116.93804,Stephen,Mull,smull@lsusd.net,43509
37681896038368,0620790,02495,Active,San Diego,Lakeside Union Elementary,Lakeview Elementary,9205 Lakeview Road,9205 Lakeview Rd.,Lakeside,92040-0578,CA,9205 Lakeview Road,9205 Lakeview Rd.,Lakeside,92040-0578,CA,(619) 390-2652,No Data,(619) 390-2693,derosier@lsusd.net,http://www.lsusd.net,21794,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.843603,-116.90428,Staci,Arnold,sarnold@lsusd.net,43509
37681896038376,0620790,02496,Active,San Diego,Lakeside Union Elementary,Lindo Park Elementary,12824 Lakeshore Drive,12824 Lakeshore Dr.,Lakeside,92040-0578,CA,12824 Lakeshore Drive,12824 Lakeshore Dr.,Lakeside,92040-0578,CA,(619) 390-2656,No Data,(619) 390-2551,derosier@lsusd.net,http://www.lsusd.net,19238,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.859031,-116.91443,Tessa,Green,tgreen@lsusd.net,44383
37681896038384,0620790,02497,Active,San Diego,Lakeside Union Elementary,Riverview Elementary,9308 Winter Gardens Boulevard,9308 Winter Gardens Blvd.,Lakeside,92040-4539,CA,9308 Winter Gardens Boulevard,9308 Winter Gardens Blvd.,Lakeside,92040-4539,CA,(619) 390-2662,No Data,(619) 390-2668,derosier@lsusd.net,http://www.lsusd.net,21429,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,2-5,2-5,N,N,N,No Data,32.846449,-116.93109,Grace,Cox,gcox@lsusd.net,44091
37681896038392,0620790,02499,Active,San Diego,Lakeside Union Elementary,Winter Gardens Elementary,8501 Pueblo Road,8501 Pueblo Rd.,Lakeside,92040-5406,CA,8501 Pueblo Road,8501 Pueblo Rd.,Lakeside,92040-5406,CA,(619) 390-2687,No Data,(619) 390-2695,derosier@lsusd.net,http://www.lsusd.net,22525,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-1,K-1,N,N,N,No Data,32.831458,-116.93122,Grace,Cox,gcox@lsusd.net,44448
37681896085047,0620790,02498,Active,San Diego,Lakeside Union Elementary,Tierra del Sol Middle,9611 Petite Lane,9611 Petite Ln.,Lakeside,92040-4317,CA,9611 Petite Lane,9611 Petite Ln.,Lakeside,92040-4317,CA,(619) 390-2670,No Data,(619) 390-2518,derosier@lsusd.net,http://www.lsusd.net,26543,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,32.854481,-116.91164,Leslie,Hardiman,lhardiman@lsusd.net,43509
37681896107742,0620790,14397,Active,San Diego,Lakeside Union Elementary,Lakeside Union Alternative Education,9308 Winter Gardens Boulevard,9308 Winter Gardens Blvd.,Lakeside,92040-3015,CA,9308 Winter Gardens Boulevard,9308 Winter Gardens Blvd.,Lakeside,92040-3015,CA,(619) 390-2600,5510,(619) 390-2575,kreed@lsusd.net,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEM,Elementary,K-8,K-8,N,N,N,No Data,32.847282,-116.93170,Kelly,Gilbert,kgilbert@lsusd.net,44452
37681896110092,0620790,10310,Active,San Diego,Lakeside Union Elementary,Lemon Crest Elementary,12463 Lemon Crest Drive,12463 Lemon Crest Dr.,Lakeside,92040-0578,CA,12463 Lemon Crest Drive,12463 Lemon Crest Dr.,Lakeside,92040-0578,CA,(619) 390-2527,No Data,(619) 390-2563,derosier@lsusd.net,http://www.lsusd.net,33491,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.852280,-116.92172,Keith,Keiper,kkeiper@lsusd.net,43509
37681896120901,0620790,10631,Active,San Diego,Lakeside Union Elementary,Barona Indian Charter,1095 Barona Road,1095 Barona Rd.,Lakeside,92040-1541,CA,1095 Barona Road,1095 Barona Rd.,Lakeside,92040-1541,CA,(619) 443-0948,No Data,(619) 443-7280,ylachappa@barona-nsn.gov,No Data,37502,No Data,Y,0469,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601814,32.933084,-116.87720,Jeffrey,Felix,jfelix@mybics.org,44102
37681970000000,0620250,No Data,Active,San Diego,La Mesa-Spring Valley,No Data,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5700,No Data,(619) 668-4619,david.feliciano@lmsvschools.org,http://www.lmsvschools.org,No Data,No Data,No Data,No Data,No Data,52,Elementary School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32.765013,-117.02207,David,Feliciano,david.feliciano@lmsvschools.org,43326
37681970115543,0620250,12168,Active,San Diego,La Mesa-Spring Valley,Quest Academy,8805 Tyler Street,8805 Tyler St.,Spring Valley,91977-3336,CA,8805 Tyler Street,8805 Tyler St.,Spring Valley,91977-3336,CA,(619) 668-5890,No Data,(619) 668-8335,kimberly.libenguth@lmsvschools.org,http://www.lmsvschools.org,39314,No Data,N,No Data,No Data,52,Elementary School District,69,District Community Day Schools,COMMDAY,Community Day School,INTMIDJR,Intermediate/Middle/Junior High,6-8,7-8,N,N,N,No Data,32.730135,-117.00817,Kimberly,Libenguth,kimberly.libenguth@lmsvschools.org,44482
37681970132290,0620250,02432,Active,San Diego,La Mesa-Spring Valley,La Mesa Arts Academy,4200 Parks Avenue,4200 Parks Ave.,La Mesa,91942-6212,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5730,No Data,(619) 668-8303,kelley.rabasco@lmsvschools.org,http://www.lmsvschools.org,42229,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,4-8,4-8,N,N,N,No Data,32.755190,-117.03025,Kelley,Rabasco,kelley.rabasco@lmsvschools.org,44434
37681970132431,0620250,02434,Active,San Diego,La Mesa-Spring Valley,"Science, Technology, Engineering, Arts, and Math Academy at La Presa",1001 Leland Street,1001 Leland St.,Spring Valley,91977-4819,CA,1001 Leland Street,1001 Leland St.,Spring Valley,91977-4819,CA,(619) 668-5720,No Data,(619) 668-8305,andrea.radmilovich@lmsvschools.org,http://www.lmsvschools.org,42229,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,4-8,4-8,N,N,N,No Data,32.712351,-117.00522,Andrea,Radmilovich,andrea.radmilovich@lmsvschools.org,44056
37681970132951,0620250,13954,Active,San Diego,La Mesa-Spring Valley,Trust Blended Learning,9009 Park Placeaza Drive,9009 Park Pl.aza Dr.,La Mesa,91942-3400,CA,9009 Park Placeaza Drive,9009 Park Pl.aza Dr.,La Mesa,91942-3400,CA,(619) 771-6080,No Data,(619) 771-6081,cindy.knight@lmsvschools.org,http://www.lmsvschools.org,42219,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,V,N,N,No Data,32.790456,-117.00419,Cindy,Knight,cindy.knight@lmsvschools.org,44434
37681970134155,0620250,02445,Active,San Diego,La Mesa-Spring Valley,Spring Valley Academy,3900 Conrad Drive,3900 Conrad Dr.,Spring Valley,91977-1437,CA,3900 Conrad Drive,3900 Conrad Dr.,Spring Valley,91977-1437,CA,(619) 668-5750,No Data,(619) 668-8302,lauren.basteyns@lmsvschools.org,http://www.lmsvschools.org,42598,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,7-8,6-8,N,N,N,No Data,32.750413,-116.98775,Lauren,Basteyns,lauren.basteyns@lmsvschools.org,44538
37681970136408,0620250,14132,Active,San Diego,La Mesa-Spring Valley,Sparrow Academy,4207 Spring Gardens Road,4207 Spring Gardens Rd.,La Mesa,91941-2030,CA,4207 Spring Gardens Road,4207 Spring Gardens Rd.,La Mesa,91941-2030,CA,(619) 439-6327,No Data,(619) 439-6342,alexis.lazzaretti@sparrowschool.org,http://www.sparrowschool.org,42969,No Data,Y,1901,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0602298,32.756024,-117.01271,Alexis,Lazzaretti,alexis.lazzaretti@sparrowschool.org,44329
37681976038400,0620250,02424,Active,San Diego,La Mesa-Spring Valley,Avondale Elementary,8401 Stansbury Street,8401 Stansbury St.,Spring Valley,91977-3737,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5880,No Data,(619) 668-8330,john.ashley@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.719139,-117.01727,John,Ashley,john.ashley@lmsvschools.org,44056
37681976038418,0620250,02425,Active,San Diego,La Mesa-Spring Valley,Bancroft Elementary,8805 Tyler Street,8805 Tyler St.,Spring Valley,91977-3336,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5890,No Data,(619) 668-8335,kimberly.libenguth@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.730135,-117.00817,Kimberly,Libenguth,kimberly.libenguth@lmsvschools.org,44056
37681976038434,0620250,02427,Active,San Diego,La Mesa-Spring Valley,Casa de Oro Elementary,10227 Ramona Drive,10227 Ramona Dr.,Spring Valley,91977-1720,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5715,No Data,(619) 668-8337,ryan.icenhower@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.747767,-116.97276,Ryan,Icenhower,ryan.icenhower@lmsvschools.org,44533
37681976038442,0620250,02428,Active,San Diego,La Mesa-Spring Valley,Fletcher Hills Elementary,2330 Center Place,2330 Center Pl.,El Cajon,92020-2809,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5820,No Data,(619) 668-8353,kelli.maringer@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.800478,-116.99618,Kelli,Maringer,kelli.maringer@lmsvschools.org,44434
37681976038459,0620250,02429,Active,San Diego,La Mesa-Spring Valley,Highlands Elementary,3131 South Barcelona Street,3131 South Barcelona St.,Spring Valley,91977-3003,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5780,No Data,(619) 668-8320,jon.mcevoy@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.737305,-116.98155,Jon,McEvoy,jon.mcevoy@lmsvschools.org,44056
37681976038467,0620250,02430,Active,San Diego,La Mesa-Spring Valley,Kempton Street Literacy Academy,740 Kempton Street,740 Kempton St.,Spring Valley,91977-5017,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5870,No Data,(619) 668-8317,wendy.newmark@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-5,N,N,N,No Data,32.710497,-117.00175,Wendy,Newmark,wendy.newmark@lmsvschools.org,44435
37681976038475,0620250,02431,Active,San Diego,La Mesa-Spring Valley,La Mesa Dale Elementary,4370 Parks Avenue,4370 Parks Ave.,La Mesa,91941-5214,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91942-9214,CA,(619) 668-5740,No Data,(619) 668-8352,tammie.babbitt@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.757662,-117.03215,Tammie,Babbitt,tammie.babbitt@lmsvschools.org,44056
37681976038509,0620250,02433,Active,San Diego,La Mesa-Spring Valley,La Presa Elementary,519 La Presa Street,519 La Presa St.,Spring Valley,91977-6011,CA,519 La Presa Street,519 La Presa St.,Spring Valley,91977-6011,CA,(619) 668-5790,No Data,(619) 668-5795,eddie.iriqui@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.706482,-116.99327,Eddie,Iriqui,eddie.iriqui@lmsvschools.org,44452
37681976038517,0620250,02435,Active,San Diego,La Mesa-Spring Valley,Lemon Avenue Elementary,8787 Lemon Avenue,8787 Lemon Ave.,La Mesa,91941-5214,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5835,No Data,(619) 668-8344,allison.long@lmsvschools.org,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.768184,-117.00837,Allison,Long,allison.long@lmsvschools.org,44056
37681976038525,0620250,02437,Active,San Diego,La Mesa-Spring Valley,Maryland Avenue Elementary,5400 Maryland Avenue,5400 Maryland Ave.,La Mesa,91941-5214,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5744,No Data,(619) 668-5746,stephani.starr@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.777787,-117.03820,Stephanie,Starr,stephanie.starr@lmsvschools.org,44435
37681976038533,0620250,02439,Active,San Diego,La Mesa-Spring Valley,Murray Manor Elementary,8305 El Paso Street,8305 El Paso St.,La Mesa,91942-2704,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5865,No Data,(619) 668-8343,robert.myrick@lmsvschools.org,http://www.lmsvschools.org,19613,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.788351,-117.01987,Robert,Myrick,robert.myrick@lmsvschools.org,44056
37681976038541,0620250,02440,Active,San Diego,La Mesa-Spring Valley,Northmont Elementary,9405 Gregory Street,9405 Gregory St.,La Mesa,91942-3811,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5830,No Data,(619) 668-8340,laura.hollis@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.790877,-116.99398,Laura,Hollis,laura.hollis@lmsvschools.org,44056
37681976038558,0620250,02441,Active,San Diego,La Mesa-Spring Valley,Parkway Middle,9009 Park Plaza Drive,9009 Park Plaza Dr.,La Mesa,91942-3400,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5810,No Data,(619) 668-5779,jacob.ruth@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,7-8,7-8,N,N,N,No Data,32.791277,-117.00293,Jacob,Ruth,jacob.ruth@lmsvschools.org,44056
37681976038566,0620250,02442,Active,San Diego,La Mesa-Spring Valley,Rancho Elementary,8845 Noeline Avenue,8845 Noeline Ave.,Spring Valley,91977-5716,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5885,No Data,(619) 668-8339,elisa.holstonarteaga@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.705080,-117.01594,Elisa,HolstonArteaga,elisa.holstonarteaga@lmsvschools.org,44056
37681976038574,0620250,02443,Active,San Diego,La Mesa-Spring Valley,Rolando Elementary,6925 Tower Street,6925 Tower St.,La Mesa,91941-5214,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5800,No Data,(619) 668-5805,noelle.suffield@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.763199,-117.04876,Noelle,Suffield,noelle.suffield@lmsvschools.org,44056
37681976070833,0620250,02438,Active,San Diego,La Mesa-Spring Valley,Murdock Elementary,4354 Conrad Drive,4354 Conrad Dr.,La Mesa,91941-5214,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5775,No Data,(619) 668-8343,natalie.jager@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.758828,-116.98474,Natalie,Jager,natalie.jager@lmsvschools.org,44533
37681976098446,0620250,02436,Active,San Diego,La Mesa-Spring Valley,Loma Elementary,10355 Loma Lane,10355 Loma Ln.,Spring Valley,91978-1517,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941-5214,CA,(619) 668-5862,No Data,(619) 670-6839,elizabeth.rackliffe@lmsvschools.org,http://www.lmsvschools.org,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.736664,-116.96884,Elizabeth,Rackliffe,elizabeth.rackliffe@lmsvschools.org,44056
37681976111207,0620250,02634,Active,San Diego,La Mesa-Spring Valley,Sweetwater Springs Elementary,10129 Austin Drive,10129 Austin Dr.,Spring Valley,91977-6903,CA,4750 Date Avenue,4750 Date Ave.,La Mesa,91941,CA,(619) 668-5895,No Data,(619) 668-8324,angelo.benedetto@lmsvschools.org,http://www.lmsvschools.org,34171,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,32.731776,-116.97660,Angelo,Benedetto,angelo.benedetto@lmsvschools.org,44056
37682050000000,0621330,No Data,Active,San Diego,Lemon Grove,No Data,8025 Lincoln Street,8025 Lincoln St.,Lemon Grove,91945-2515,CA,8025 Lincoln Street,8025 Lincoln St.,Lemon Grove,91945-2515,CA,(619) 825-5600,No Data,(619) 462-7959,communications@lemongrovesd.net,http://www.lemongrovesd.net,No Data,No Data,No Data,No Data,No Data,52,Elementary School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32.738226,-117.02597,Erica,Balakian,ebalakian@lemongrovesd.net,43696
37682056038608,0621330,02549,Active,San Diego,Lemon Grove,Lemon Grove Academy for the Sciences and Humanities,7866 Lincoln Street,7866 Lincoln St.,Lemon Grove,91945-2542,CA,7866 Lincoln Street,7866 Lincoln St.,Lemon Grove,91945-2542,CA,(619) 825-5628,No Data,(619) 825-5782,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-8,K-8,C,N,N,No Data,32.738507,-117.02886,Tamara,Muhammad,tmuhammad@lemongrovesd.net,44452
