Apartment,Address,Zip,Contact,Bedrooms,Handicap,Units,Preferred Clientel,to_geocode,lat,lon
Villa Harvey Mandel Apts,72 17th St,92113,619.446.2100,,Yes,90.0,,"Villa Harvey Mandel Apts, 72 17th St, 92113, San Diego, California",32.70611239999999,-117.1487722
Villa Maria,1528 India St,92101,619.236.9353,"2,3",Yes,15.0,,"Villa Maria, 1528 India St, 92101, San Diego, California",32.7213619,-117.1685142
Villa Merced Apts,1148 Beyer Way,92154,619.423.8325,"1,",Yes,100.0,,"Villa Merced Apts, 1148 Beyer Way, 92154, San Diego, California",32.5743125,-117.066465
Villa Nueva,3604 Beyer Blvd,92173,619.428.2291,"2,3,4",Yes,398.0,,"Villa Nueva, 3604 Beyer Blvd, 92173, San Diego, California",32.5633002,-117.0557489
Village at Morena Vista,5395 Napa St,92110,619.294.3566,"1,2,3",Yes,18.0,Families,"Village at Morena Vista, 5395 Napa St, 92110, San Diego, California",32.7647634,-117.1965759
Village Green Apts,4150 Bonillo Dr,92115,619.583.7236,"2,3",No,93.0,,"Village Green Apts, 4150 Bonillo Dr, 92115, San Diego, California",32.752826,-117.0603
Village Place Apts,32 17th St,92101,619.645.3303,"1,",Yes,51.0,Disabled; Homeless,"Village Place Apts, 32 17th St, 92101, San Diego, California",32.7056612,-117.148764
Village View Apts,3830-3832 43rd St,92105,619.521.1263,"1,2,3",No,30.0,,"Village View Apts, 3830-3832 43rd St, 92105, San Diego, California",32.7483498,-117.1022338
Vista Grande Apts,5411 Santa Margarita St,92114,619.266.1210,"2,3,4",No,48.0,Families,"Vista Grande Apts, 5411 Santa Margarita St, 92114, San Diego, California",32.7056456,-117.0781004
Vista La Rosa,2002 Rimbey Ave,92154,619.423.6094,"2,3",Yes,240.0,Families,"Vista La Rosa, 2002 Rimbey Ave, 92154, San Diego, California",32.56914,-117.089515
Vista Lane Courts,440 South Vista Ln,92173,619.690.0224,"0,1,2",Yes,40.0,Senior 62+; Disabled,"Vista Lane Courts, 440 South Vista Ln, 92173, San Diego, California",32.5607634,-117.0551388
Vista Serena Apts,3155 L St,92102,619.237.1170,"0,1",Yes,21.0,Seniors,"Vista Serena Apts, 3155 L St, 92102, San Diego, California",32.7072521,-117.1259447
Vista Terrace Hills,1790 Del Sur Blvd,92173,619.428.1125,"3,4",Yes,262.0,Families,"Vista Terrace Hills, 1790 Del Sur Blvd, 92173, San Diego, California",32.5641891,-117.0562349
Vista Terraza,7735 Via Solare,92129,858.484.3027,"1,2,3",Yes,123.0,Families,"Vista Terraza, 7735 Via Solare, 92129, San Diego, California",32.961468,-117.1559048
Vista Verde Apts,351 S. 33rd St,92113,619-702-2940,"2,3",Yes,152.0,Families,"Vista Verde Apts, 351 S. 33rd St, 92113, San Diego, California",32.7026399,-117.1224032
Wesley Terrace,5343 Monroe Ave,92115,619.582.8100,"0,1",Yes,40.0,Seniors 62+,"Wesley Terrace, 5343 Monroe Ave, 92115, San Diego, California",32.7589659,-117.0810167
Westminster Manor,1730 Third Ave #100,92101,619.233.7001,"0,1",Yes,158.0,Seniors 62+,"Westminster Manor, 1730 Third Ave #100, 92101, San Diego, California",32.7234684,-117.1621847
Westview Home Apts,3536 43rd St,92105,619.584.1535  ,"1,2",Yes,6.0,,"Westview Home Apts, 3536 43rd St, 92105, San Diego, California",32.7428966,-117.1024145
Wightman Place Apts,5052 Wightman St,92105,619.285.5600 ,"2,3,4,5",Yes,44.0,Families,"Wightman Place Apts, 5052 Wightman St, 92105, San Diego, California",32.7472042,-117.0854569
Windwood Village,12730 Briarcrest Pl,92130,858.350.4696 ,"1,2,3",No,92.0,Families,"Windwood Village, 12730 Briarcrest Pl, 92130, San Diego, California",32.95083750000001,-117.2018337
Winonan Apts,3845 Winona Ave,92195,619.292.3333,"2,",Yes,14.0,,"Winonan Apts, 3845 Winona Ave, 92195, San Diego, California",32.748334,-117.087685
